Timestamp,What is the name of the hospital?,Building Name,"If Others, Kindly Input Building Name",Status (If currently at the hospital or in the future plans of the hospital to purchase over the next 3 years),Is it a medical or Non medical Appliance,Equipment Category,Medical Equipment Name,"If Others, Kindly Input the Medical Equipment Name",Non-Medical Equipment/Appliance Name,"If Others, What equipment/Appliance",How would you categorize this equipment/Appliance,Count,Rated Capacity,Unit of Rating,"if others, whats is the name of the unit of measurement",Working condition,Daily Hours of Use,Peak energy usage times,Take an image of the equipment if accessible
8/18/2025 22:10:16,Ifako Agege General Hospital,Engineering; Procurement; Store; Catering; Security; Domestic; Transport; Laundry; Tailoring,,Currently Available,Non-Medical,Heating,,,Others,Electric kettle,Non-Critical,1,2000,Watts,,Good ,2,Morining (6 am - 9 am),
8/18/2025 22:12:18,Ifako Agege General Hospital,Engineering; Procurement; Store; Catering; Security; Domestic; Transport; Laundry; Tailoring,,Currently Available,Non-Medical,Heating,,,Others,Microwave,Non-Critical,1,1000,Watts,,Good ,3,Morining (9 am - 12 pm),
8/18/2025 22:13:53,Ifako Agege General Hospital,Engineering; Procurement; Store; Catering; Security; Domestic; Transport; Laundry; Tailoring,,Currently Available,Non-Medical,Heating,,,Others,Electric cooker,Non-Critical,2,1000,Watts,,Good ,3,"Afternoon (12 pm - 3 pm) , Afternoon (3 pm -  6 pm)",
8/18/2025 22:15:27,Ifako Agege General Hospital,Engineering; Procurement; Store; Catering; Security; Domestic; Transport; Laundry; Tailoring,,Currently Available,Non-Medical,Cooling,,,Freezer/Fridge,,Non-Critical,1,130,Watts,,Good ,6,"Morining (9 am - 12 pm) , Afternoon (12 pm - 3 pm)",
8/18/2025 22:18:00,Ifako Agege General Hospital,Engineering; Procurement; Store; Catering; Security; Domestic; Transport; Laundry; Tailoring,,Currently Available,Non-Medical,Others,,,Television,,Non-Critical,4,60,Watts,,Good ,4,Afternoon (12 pm - 3 pm),
8/18/2025 22:21:19,Ifako Agege General Hospital,Engineering; Procurement; Store; Catering; Security; Domestic; Transport; Laundry; Tailoring,,Currently Available,Non-Medical,Others,,,Television,,Non-Critical,2,40,Watts,,Good ,4,Afternoon (12 pm - 3 pm),
8/18/2025 22:23:57,Ifako Agege General Hospital,Dentistry (including sub-specialties),,Currently Available,Non-Medical,LIghtening,,,Light bulb,,Critical,9,18,Watts,,Good ,8,"Morining (9 am - 12 pm) , Afternoon (12 pm - 3 pm)",
8/18/2025 22:30:41,Ifako Agege General Hospital,Dentistry (including sub-specialties),,Currently Available,Non-Medical,LIghtening,,,Light bulb,,Critical,4,80,Watts,,Good ,8,"Morining (9 am - 12 pm) , Afternoon (12 pm - 3 pm)",
8/18/2025 22:32:31,Ifako Agege General Hospital,Dentistry (including sub-specialties),,Currently Available,Non-Medical,Cooling,,,Others,Airconditional,Non-Critical,5,2000,Watts,,Good ,4,"Morining (9 am - 12 pm) , Afternoon (12 pm - 3 pm)",
8/18/2025 22:35:00,Ifako Agege General Hospital,Dentistry (including sub-specialties),,Currently Available,Non-Medical,Cooling,,,Freezer/Fridge,,Non-Critical,2,70,Watts,,Good ,6,"Morining (9 am - 12 pm) , Afternoon (12 pm - 3 pm)",
8/18/2025 22:43:27,Ifako Agege General Hospital,Dentistry (including sub-specialties),,Currently Available,Medical,Others,Sterilizer or Autoclave Machine,,,,Critical,1,1750,Watts,,Good ,4,"Morining (9 am - 12 pm) , Afternoon (12 pm - 3 pm)",
8/18/2025 22:46:31,Ifako Agege General Hospital,Dentistry (including sub-specialties),,Currently Available,Non-Medical,Others,,,Others,Dental chair,Non-Critical,3,9000,Watts,,Good ,5,"Morining (9 am - 12 pm) , Afternoon (12 pm - 3 pm)",
8/18/2025 22:48:36,Ifako Agege General Hospital,Engineering; Procurement; Store; Catering; Security; Domestic; Transport; Laundry; Tailoring,,Currently Available,Medical,Others,Sterilizer or Autoclave Machine,,,,Critical,1,2000,Watts,,Good ,6,"Afternoon (12 pm - 3 pm) , Afternoon (3 pm -  6 pm)",
8/18/2025 22:53:29,Ifako Agege General Hospital,Dentistry (including sub-specialties),,Currently Available,Non-Medical,Heating,,,Others,Electric kettle,Non-Critical,1,2200,Watts,,Good ,4,,
8/18/2025 22:55:31,Ifako Agege General Hospital,Dentistry (including sub-specialties),,Currently Available,Non-Medical,Heating,,,Others,Microwave,Non-Critical,1,1000,Watts,,Good ,6,Morining (9 am - 12 pm),
8/19/2025 0:52:24,Alimosho General Hospital,Others,Mosque,Currently Available,Non-Medical,LIghtening,,,Light bulb,,Non-Critical,8,18,Watts,,Good ,2,Morning (3 am- 6 am),Appliance Audit_Images/08-19-2025 00-52-24.Take an image of the equipment if accessible.235920.jpg
8/19/2025 0:59:19,Alimosho General Hospital,Others,Mosque,Currently Available,Non-Medical,Cooling,,,Fan,,Non-Critical,4,150,Watts,,Good ,2,"Morning (3 am- 6 am) , Evening (6 pm - 9 pm)",Appliance Audit_Images/08-19-2025 00-59-19.Take an image of the equipment if accessible.000205.jpg
8/19/2025 1:02:05,Alimosho General Hospital,Others,Mosque,Currently Available,Non-Medical,Cooling,,,Fan,,Non-Critical,4,150,Watts,,Good ,2,,Appliance Audit_Images/08-19-2025 01-02-05.Take an image of the equipment if accessible.000422.jpg
8/19/2025 1:04:33,Alimosho General Hospital,Others,Mosque,Currently Available,Non-Medical,Others,,,Others,Public Address system,Non-Critical,1,100,Watts,,Good ,,,
8/19/2025 1:06:28,Alimosho General Hospital,Others,Kitchen,Currently Available,Non-Medical,Cooling,,,Freezer/Fridge,,Non-Critical,2,750,Watts,,Good ,8,"Morining (9 am - 12 pm) , Afternoon (12 pm - 3 pm) , Afternoon (3 pm -  6 pm)",Appliance Audit_Images/08-19-2025 01-06-28.Take an image of the equipment if accessible.000833.jpg
8/19/2025 1:08:34,Alimosho General Hospital,Others,Kitchen,Currently Available,Non-Medical,Cooling,,,Others,Air conditioner,Non-Critical,10,1.5,Horsepower,,Good ,6,"Morining (9 am - 12 pm) , Afternoon (12 pm - 3 pm) , Afternoon (3 pm -  6 pm)",Appliance Audit_Images/08-19-2025 01-08-34.Take an image of the equipment if accessible.001112.jpg
8/19/2025 1:11:12,Alimosho General Hospital,Others,Kitchen,Currently Available,Non-Medical,Others,,,Others,Microwave,Non-Critical,2,1500,Watts,,Good ,3,"Morining (9 am - 12 pm) , Afternoon (12 pm - 3 pm) , Afternoon (3 pm -  6 pm)",Appliance Audit_Images/08-19-2025 01-11-12.Take an image of the equipment if accessible.001418.jpg
8/19/2025 1:14:25,Alimosho General Hospital,Others,Kitchen,Currently Available,Non-Medical,Cooling,,,Fan,,Non-Critical,4,135,Watts,,Good ,,"Morining (9 am - 12 pm) , Afternoon (12 pm - 3 pm) , Afternoon (3 pm -  6 pm)",
8/19/2025 1:19:56,Alimosho General Hospital,Others,Kitchen,Currently Available,Non-Medical,Heating,,,Others,Water heater,Non-Critical,1,1200,Watts,,Good ,,"Morining (9 am - 12 pm) , Afternoon (12 pm - 3 pm) , Afternoon (3 pm -  6 pm)",Appliance Audit_Images/08-19-2025 01-19-56.Take an image of the equipment if accessible.002216.jpg
8/19/2025 1:22:26,Alimosho General Hospital,Others,Kitchen,Currently Available,Non-Medical,Others,,,Freezer/Fridge,,Non-Critical,4,260,Watts,,Good ,6,,Appliance Audit_Images/08-19-2025 01-22-26.Take an image of the equipment if accessible.002427.jpg
8/19/2025 1:33:03,Alimosho General Hospital,Others,Kitchen,Currently Available,Non-Medical,Others,,,Television,,Non-Critical,1,,Watts,,Good ,8,"Morining (9 am - 12 pm) , Afternoon (12 pm - 3 pm) , Afternoon (3 pm -  6 pm)",
8/19/2025 1:37:34,Alimosho General Hospital,Others,Kitchen,Currently Available,Non-Medical,Cooling,,,Freezer/Fridge,,Non-Critical,1,,Watts,,Good ,6,"Morining (9 am - 12 pm) , Afternoon (12 pm - 3 pm) , Afternoon (3 pm -  6 pm)",Appliance Audit_Images/08-19-2025 01-37-34.Take an image of the equipment if accessible.004014.jpg
8/19/2025 1:40:19,Alimosho General Hospital,Others,Kitchen,Currently Available,Non-Medical,LIghtening,,,Light bulb,,Non-Critical,42,24,Watts,,Good ,,"Morning (3 am- 6 am) , Morining (6 am - 9 am) , Morining (9 am - 12 pm) , Afternoon (12 pm - 3 pm) , Afternoon (3 pm -  6 pm) , Evening (6 pm - 9 pm)",
8/19/2025 1:43:36,Alimosho General Hospital,Others,Kitchen,Currently Available,Non-Medical,LIghtening,,,Light bulb,,Non-Critical,1,100,Watts,,Good ,,,
8/19/2025 1:44:24,Alimosho General Hospital,Others,Kitchen,Currently Available,Non-Medical,Others,,,Others,Grinding machine,Non-Critical,1,1500,Watts,,Good ,2,"Morining (9 am - 12 pm) , Afternoon (3 pm -  6 pm)",Appliance Audit_Images/08-19-2025 01-44-24.Take an image of the equipment if accessible.004637.jpg
8/19/2025 1:46:40,Alimosho General Hospital,Others,Kitchen,Currently Available,Non-Medical,Others,,,Others,Insect killer,Non-Critical,2,6,Watts,,Good ,8,,Appliance Audit_Images/08-19-2025 01-46-40.Take an image of the equipment if accessible.004812.jpg
8/19/2025 1:48:23,Alimosho General Hospital,Others,Dialysis and Dental building,Currently Available,Non-Medical,LIghtening,,,Light bulb,,Critical,35,18,Watts,,Good ,,,
8/19/2025 1:52:00,Alimosho General Hospital,Others,Dialysis and Dental building,Currently Available,Non-Medical,LIghtening,,,Light bulb,,Critical,9,10,Watts,,Good ,,,Appliance Audit_Images/08-19-2025 01-52-00.Take an image of the equipment if accessible.005344.jpg
8/19/2025 1:53:53,Alimosho General Hospital,Others,Dialysis and Dental building,Currently Available,Non-Medical,LIghtening,,,Light bulb,,Critical,32,24,Watts,,Good ,,,
8/19/2025 1:55:11,Alimosho General Hospital,Others,Dialysis and Dental building,Currently Available,Non-Medical,LIghtening,,,Light bulb,,Critical,10,50,Watts,,Good ,,,
8/19/2025 1:56:42,Alimosho General Hospital,Others,Dialysis and Dental building,Currently Available,Non-Medical,Cooling,,,Others,Air conditioner,Non-Critical,2,1,Horsepower,,Good ,8,"Morning (3 am- 6 am) , Morining (6 am - 9 am) , Morining (9 am - 12 pm) , Afternoon (12 pm - 3 pm) , Afternoon (3 pm -  6 pm) , Evening (6 pm - 9 pm)",Appliance Audit_Images/08-19-2025 01-56-42.Take an image of the equipment if accessible.005838.jpg
8/19/2025 1:58:41,Alimosho General Hospital,Others,Dialysis and Dental building,Currently Available,Non-Medical,Cooling,,,Others,Air conditioner,Non-Critical,15,1.5,Horsepower,,Good ,10,"Morining (6 am - 9 am) , Morining (9 am - 12 pm) , Afternoon (12 pm - 3 pm) , Afternoon (3 pm -  6 pm) , Evening (6 pm - 9 pm)",
8/19/2025 2:01:36,Alimosho General Hospital,Others,Dialysis and Dental building,Currently Available,Non-Medical,Cooling,,,Fan,,Non-Critical,1,135,Watts,,Good ,10,"Morining (6 am - 9 am) , Morining (9 am - 12 pm) , Afternoon (12 pm - 3 pm) , Afternoon (3 pm -  6 pm) , Evening (6 pm - 9 pm)",
8/19/2025 2:05:48,Alimosho General Hospital,Others,Dialysis and Dental building,Currently Available,Non-Medical,Cooling,,,Fan,,Non-Critical,2,150,Watts,,Good ,10,"Morining (6 am - 9 am) , Morining (9 am - 12 pm) , Afternoon (12 pm - 3 pm) , Afternoon (3 pm -  6 pm) , Evening (6 pm - 9 pm)",
8/19/2025 2:08:22,Alimosho General Hospital,Others,Dialysis and Dental building,Currently Available,Non-Medical,Cooling,,,Others,Water Dispenser,Non-Critical,1,500,Watts,,Good ,5,"Morining (9 am - 12 pm) , Afternoon (12 pm - 3 pm) , Afternoon (3 pm -  6 pm)",Appliance Audit_Images/08-19-2025 02-08-22.Take an image of the equipment if accessible.011043.jpg
8/19/2025 2:10:45,Alimosho General Hospital,Others,Dialysis and Dental building,Currently Available,Non-Medical,Heating,,,Others,Microwave,Non-Critical,1,1500,Watts,,Good ,1,,Appliance Audit_Images/08-19-2025 02-10-45.Take an image of the equipment if accessible.011253.jpg
8/19/2025 2:12:53,Alimosho General Hospital,Others,Dialysis and Dental building,Currently Available,Non-Medical,Others,,,Others,Pumping machine,Critical,2,1.5,Horsepower,,Good ,6,,Appliance Audit_Images/08-19-2025 02-12-53.Take an image of the equipment if accessible.012326.jpg
8/19/2025 2:14:54,Alimosho General Hospital,Others,Dialysis and Dental building,Currently Available,Medical,Others,Others,Water treatment machine,,,Critical,3,746,Watts,,Good ,15,"Morning (3 am- 6 am) , Morining (6 am - 9 am) , Morining (9 am - 12 pm) , Afternoon (12 pm - 3 pm) , Afternoon (3 pm -  6 pm) , Evening (6 pm - 9 pm) , Night (9 pm - 12 am)",Appliance Audit_Images/08-19-2025 02-14-54.Take an image of the equipment if accessible.012440.jpg
8/19/2025 2:18:04,Alimosho General Hospital,Others,Dialysis and Dental building,Currently Available,Medical,Others,Others,Water treatment machine,,,Critical,1,1.5,Horsepower,,Good ,15,"Morining (6 am - 9 am) , Morining (9 am - 12 pm) , Afternoon (12 pm - 3 pm) , Afternoon (3 pm -  6 pm) , Evening (6 pm - 9 pm)",Appliance Audit_Images/08-19-2025 02-18-04.Take an image of the equipment if accessible.012454.jpg
8/19/2025 2:28:07,Alimosho General Hospital,Others,Dialysis and Dental building,Currently Available,Non-Medical,Others,,,Television,,Non-Critical,3,100,Watts,,Good ,5,"Morining (9 am - 12 pm) , Afternoon (12 pm - 3 pm) , Afternoon (3 pm -  6 pm)",Appliance Audit_Images/08-19-2025 02-28-07.Take an image of the equipment if accessible.013135.jpg
8/19/2025 2:31:44,Alimosho General Hospital,Others,Dialysis and Dental building,Currently Available,Non-Medical,Cooling,,,Freezer/Fridge,,Non-Critical,2,800,Watts,,Good ,8,,Appliance Audit_Images/08-19-2025 02-31-44.Take an image of the equipment if accessible.013338.jpg
8/19/2025 2:33:48,Alimosho General Hospital,Others,Dialysis and Dental building,Currently Available,Non-Medical,Others,,,Others,Desktop computer,Critical,8,60,Watts,,Good ,8,"Morining (9 am - 12 pm) , Afternoon (12 pm - 3 pm) , Afternoon (3 pm -  6 pm)",
8/18/2025 22:57:45,Ifako Agege General Hospital,Dentistry (including sub-specialties),,Currently Available,Non-Medical,Others,,,Others,X-ray dental machine,Critical,1,9000,Watts,,Good ,6,"Morining (9 am - 12 pm) , Afternoon (12 pm - 3 pm)",
8/19/2025 4:41:26,Ifako Agege General Hospital,Dentistry (including sub-specialties),,Currently Available,Non-Medical,Others,,,Others,Compressor,Critical,2,550,Watts,,Good ,6,"Afternoon (12 pm - 3 pm) , Afternoon (3 pm -  6 pm)",
8/19/2025 4:43:49,Ifako Agege General Hospital,Dentistry (including sub-specialties),,Currently Available,Non-Medical,Others,,,Others,Ultrasonic scanner,Critical,1,10,Watts,,Good ,3,Morining (9 am - 12 pm),
8/19/2025 4:45:23,Ifako Agege General Hospital,Dentistry (including sub-specialties),,Currently Available,Non-Medical,Others,,,Others,Dental chair,Non-Critical,4,700,Watts,,Good ,3,Morining (9 am - 12 pm),
8/19/2025 4:47:23,Ifako Agege General Hospital,Dentistry (including sub-specialties),,Currently Available,Non-Medical,Others,,,Laptop,,Non-Critical,1,65,Watts,,Good ,6,"Morining (9 am - 12 pm) , Afternoon (12 pm - 3 pm)",
8/19/2025 4:59:05,Ifako Agege General Hospital,Others,Service charter building,Currently Available,Non-Medical,LIghtening,,,Light bulb,,Critical,6,80,Watts,,Good ,6,"Morining (9 am - 12 pm) , Afternoon (12 pm - 3 pm)",
8/19/2025 5:01:42,Ifako Agege General Hospital,Others,Service charter building,Currently Available,Non-Medical,LIghtening,,,Light bulb,,Critical,5,24,Watts,,Good ,6,"Morining (9 am - 12 pm) , Afternoon (12 pm - 3 pm)",
8/19/2025 5:03:51,Ifako Agege General Hospital,Others,Service charter building,Currently Available,Non-Medical,Cooling,,,Fan,,Non-Critical,11,135,Watts,,Good ,4,"Morining (9 am - 12 pm) , Afternoon (12 pm - 3 pm)",
8/19/2025 5:05:44,Ifako Agege General Hospital,Others,Service charter building,Currently Available,Non-Medical,Cooling,,,Others,Airconditional,Critical,2,1200,Watts,,Good ,3,Afternoon (12 pm - 3 pm),
8/19/2025 5:07:55,Ifako Agege General Hospital,Others,Service charter building,Currently Available,Non-Medical,LIghtening,,,Light bulb,,Non-Critical,1,18,Watts,,Good ,6,"Morining (9 am - 12 pm) , Afternoon (12 pm - 3 pm)",
8/19/2025 5:09:26,Ifako Agege General Hospital,Others,Service charter building,Currently Available,Non-Medical,Others,,,Television,,Non-Critical,1,50,Watts,,Good ,3,Morining (9 am - 12 pm),
8/19/2025 5:10:36,Ifako Agege General Hospital,Others,Ante natal building,Currently Available,Non-Medical,LIghtening,,,Light bulb,,Critical,9,80,Watts,,Good ,4,Afternoon (12 pm - 3 pm),
8/19/2025 5:12:37,Ifako Agege General Hospital,Others,Ante natal building,Currently Available,Non-Medical,LIghtening,,,Light bulb,,Critical,1,18,Watts,,Good ,4,Evening (6 pm - 9 pm),
8/19/2025 5:14:13,Ifako Agege General Hospital,Others,Ante natal building,Currently Available,Non-Medical,Cooling,,,Others,Airconditional,Critical,2,1200,Watts,,Good ,4,Afternoon (12 pm - 3 pm),
8/19/2025 5:15:28,Ifako Agege General Hospital,Others,Ante natal building,Currently Available,Non-Medical,Others,,,Television,,Non-Critical,1,50,Watts,,Good ,3,Morining (9 am - 12 pm),
8/19/2025 5:17:10,Ifako Agege General Hospital,Others,Toilet building,Currently Available,Non-Medical,LIghtening,,,Light bulb,,Non-Critical,6,18,Watts,,Good ,12,"Morning (12 am- 3 am) , Morning (3 am- 6 am) , Evening (6 pm - 9 pm) , Night (9 pm - 12 am)",
8/19/2025 5:18:44,Ifako Agege General Hospital,Others,Toilet building,Currently Available,Non-Medical,LIghtening,,,Light bulb,,Non-Critical,4,40,Watts,,Good ,4,"Evening (6 pm - 9 pm) , Night (9 pm - 12 am)",
8/19/2025 5:20:03,Ifako Agege General Hospital,Others,Toilet building,Currently Available,Non-Medical,LIghtening,,,Light bulb,,Non-Critical,4,30,Watts,,Good ,8,"Afternoon (3 pm -  6 pm) , Evening (6 pm - 9 pm)",
8/19/2025 5:21:57,Ifako Agege General Hospital,Others,Toilet building,Currently Available,Non-Medical,Cooling,,,Others,Airconditional,Non-Critical,1,1200,Watts,,Good ,4,Afternoon (3 pm -  6 pm),
8/19/2025 5:23:02,Ifako Agege General Hospital,Others,Toilet building,Currently Available,Non-Medical,Heating,,,Others,Electric cooker,Non-Critical,1,1000,Watts,,Good ,3,Afternoon (12 pm - 3 pm),
8/19/2025 5:24:37,Ifako Agege General Hospital,Others,Oxygen room,Currently Available,Non-Medical,LIghtening,,,Light bulb,,Non-Critical,4,40,Watts,,Good ,12,"Morning (12 am- 3 am) , Morning (3 am- 6 am) , Evening (6 pm - 9 pm) , Night (9 pm - 12 am)",
8/19/2025 5:26:29,Ifako Agege General Hospital,Others,Triage and oxygen building,Currently Available,Non-Medical,LIghtening,,,Light bulb,,Critical,4,80,Watts,,Good ,8,"Morining (9 am - 12 pm) , Afternoon (12 pm - 3 pm) , Afternoon (3 pm -  6 pm)",
8/19/2025 5:28:33,Ifako Agege General Hospital,Others,Triage and oxygen building,Currently Available,Non-Medical,LIghtening,,,Light bulb,,Critical,4,30,Watts,,Good ,9,"Morining (9 am - 12 pm) , Afternoon (12 pm - 3 pm) , Afternoon (3 pm -  6 pm)",
8/19/2025 5:30:23,Ifako Agege General Hospital,Others,Triage and oxygen building,Currently Available,Non-Medical,LIghtening,,,Light bulb,,Non-Critical,7,18,Watts,,Good ,12,"Morning (12 am- 3 am) , Morning (3 am- 6 am) , Evening (6 pm - 9 pm) , Night (9 pm - 12 am)",
8/19/2025 5:32:52,Ifako Agege General Hospital,Others,Triage and oxygen building,Currently Available,Non-Medical,Cooling,,,Others,Airconditional,Non-Critical,3,1200,Watts,,Good ,4,Afternoon (12 pm - 3 pm),
8/19/2025 5:34:17,Ifako Agege General Hospital,Others,Triage and oxygen building,Currently Available,Non-Medical,Cooling,,,Fan,,Non-Critical,3,135,Watts,,Good ,4,Afternoon (12 pm - 3 pm),
8/19/2025 5:35:32,Ifako Agege General Hospital,Others,Triage and oxygen building,Currently Available,Non-Medical,Others,,,Television,,Non-Critical,1,60,Watts,,Good ,4,Afternoon (12 pm - 3 pm),
8/19/2025 5:36:59,Ifako Agege General Hospital,Others,Triage and oxygen building,Currently Available,Non-Medical,Others,,,Laptop,,Critical,1,65,Watts,,Good ,6,"Morining (9 am - 12 pm) , Afternoon (12 pm - 3 pm)",
8/19/2025 5:38:40,Ifako Agege General Hospital,Others,Triage and oxygen building,Currently Available,Non-Medical,Others,,,Others,Water dispenser,Non-Critical,1,70,Watts,,Good ,4,Afternoon (12 pm - 3 pm),
8/19/2025 5:39:48,Ifako Agege General Hospital,Others,Mini mart building,Currently Available,Non-Medical,LIghtening,,,Light bulb,,Critical,3,80,Watts,,Good ,6,"Morining (9 am - 12 pm) , Afternoon (12 pm - 3 pm)",
8/19/2025 5:41:06,Ifako Agege General Hospital,Others,Mini mart building,Currently Available,Non-Medical,Cooling,,,Others,Airconditional,Non-Critical,2,1200,Watts,,Good ,6,"Morining (9 am - 12 pm) , Afternoon (12 pm - 3 pm)",
8/19/2025 5:42:34,Ifako Agege General Hospital,Others,Mini mart building,Currently Available,Non-Medical,Others,,,Others,Photocopy machine,Non-Critical,1,1200,Watts,,Good ,3,Afternoon (12 pm - 3 pm),
8/19/2025 5:43:53,Ifako Agege General Hospital,Others,Mini mart building,Currently Available,Non-Medical,Cooling,,,Others,Chiller,Critical,3,1200,Watts,,Good ,6,"Morining (9 am - 12 pm) , Afternoon (12 pm - 3 pm)",
8/19/2025 5:45:48,Ifako Agege General Hospital,Others,Mini mart building,Currently Available,Non-Medical,Others,,,Laptop,,Non-Critical,1,65,Watts,,Good ,6,"Morining (9 am - 12 pm) , Afternoon (12 pm - 3 pm)",
8/19/2025 5:46:46,Ifako Agege General Hospital,Others,Mini mart building,Currently Available,Non-Medical,Others,,,Others,Stabilizer,Critical,1,5000,Watts,,Good ,6,"Morining (9 am - 12 pm) , Afternoon (12 pm - 3 pm)",
8/19/2025 6:18:37,Ifako Agege General Hospital,Others,NEO NATAL building,Currently Available,Non-Medical,LIghtening,,,Light bulb,,Critical,40,12,Watts,,Good ,12,"Morning (12 am- 3 am) , Morning (3 am- 6 am) , Evening (6 pm - 9 pm) , Night (9 pm - 12 am)",
8/19/2025 6:21:46,Ifako Agege General Hospital,Others,NEO NATAL building,Currently Available,Non-Medical,LIghtening,,,Light bulb,,Critical,20,18,Watts,,Good ,12,"Morning (12 am- 3 am) , Morning (3 am- 6 am) , Evening (6 pm - 9 pm) , Night (9 pm - 12 am)",
8/19/2025 6:23:14,Ifako Agege General Hospital,Others,NEO NATAL building,Currently Available,Non-Medical,Cooling,,,Fan,,Non-Critical,6,150,Watts,,Good ,6,"Afternoon (12 pm - 3 pm) , Afternoon (3 pm -  6 pm)",
8/19/2025 6:25:09,Ifako Agege General Hospital,Others,NEO NATAL building,Currently Available,Non-Medical,Cooling,,,Freezer/Fridge,,Non-Critical,3,125,Watts,,Good ,6,"Morining (9 am - 12 pm) , Afternoon (12 pm - 3 pm)",
8/19/2025 6:27:31,Ifako Agege General Hospital,Others,NEO NATAL building,Currently Available,Non-Medical,Others,,,Others,Airconditional,Non-Critical,10,1200,Watts,,Good ,4,"Afternoon (12 pm - 3 pm) , Afternoon (3 pm -  6 pm)",
8/19/2025 6:29:14,Ifako Agege General Hospital,Others,NEO NATAL building,Currently Available,Non-Medical,Others,,,Television,,Non-Critical,2,28,Watts,,Good ,4,Afternoon (12 pm - 3 pm),
8/19/2025 6:30:40,Ifako Agege General Hospital,Others,NEO NATAL building,Currently Available,Non-Medical,Heating,,,Others,Microwave,Non-Critical,3,1050,Watts,,Good ,2,Morining (6 am - 9 am),
8/19/2025 6:32:04,Ifako Agege General Hospital,Others,NEO NATAL building,Currently Available,Non-Medical,Others,,,Others,Desktop,Non-Critical,2,300,Watts,,Good ,6,"Morining (9 am - 12 pm) , Afternoon (12 pm - 3 pm)",
8/19/2025 6:33:22,Ifako Agege General Hospital,Others,NEO NATAL building,Currently Available,Medical,Others,Incubator,,,,Critical,8,700,Watts,,Good ,6,"Morining (6 am - 9 am) , Morining (9 am - 12 pm)",
8/19/2025 6:35:10,Ifako Agege General Hospital,Others,NEO NATAL building,Currently Available,Medical,Others,Others,Radiant warmer,,,Critical,4,1000,Watts,,Good ,6,"Morining (9 am - 12 pm) , Afternoon (12 pm - 3 pm)",
